city_fips,cbsa_fips,City,State,st_fips,pop_2010,Population,lon,lat
668154,42020,San Luis Obispo,California,6,45119,282013,-120.6689097,35.26704338
1522700,27980,Kahului,Hawaii,15,26337,164351,-156.4602808,20.87151663
2829700,25060,Gulfport,Mississippi,28,67793,420782,-89.07034898,30.42702586
457380,39140,Prescott,Arizona,4,39843,246191,-112.4475308,34.58493386
4534045,25940,Hilton Head Island,South Carolina,45,37099,228410,-80.74989953,32.18956695
1254000,37340,Palm Bay,Florida,12,103190,630693,-80.66275821,27.95492966
2622000,19820,Detroit,Michigan,26,713777,4345761,-83.10238117,42.38338887
2236255,26380,Houma,Louisiana,22,33727,200656,-90.70578447,29.57992768
4775320,46100,Tullahoma,Tennessee,47,18655,110412,-86.21727631,35.37207621
2634000,24340,Grand Rapids,Michigan,26,188040,1094198,-85.65568989,42.96148128
5485156,48260,Weirton,West Virginia,54,19746,114235,-80.56708667,40.4060413
3921000,19380,Dayton,Ohio,39,141527,812595,-84.1998479,39.77968857
3702140,11700,Asheville,North Carolina,37,83393,476072,-82.55367015,35.57038545
667000,41860,San Francisco,California,6,805235,4579599,-122.4430541,37.75616239
4242168,30140,Lebanon,Pennsylvania,42,25477,144011,-76.42279097,40.34119408
3040075,28060,Kalispell,Montana,30,19927,111814,-114.3261328,48.21557208
5186720,49020,Winchester,Virginia,51,26203,146455,-78.17461449,39.17350625
2124274,21060,Elizabethtown,Kentucky,21,28531,157026,-85.87688993,37.70301469
3912000,15940,Canton,Ohio,39,73007,399316,-81.36777455,40.80761551
3739700,31300,Lumberton,North Carolina,37,21542,116663,-79.01865294,34.63114421
2582000,49340,Worcester,Massachusetts,25,181045,980137,-71.80794009,42.27051601
4525810,22500,Florence,South Carolina,45,37056,199119,-79.78715153,34.17818045
5010675,15540,Burlington,Vermont,50,42417,227521,-73.23138048,44.48767415
5175216,44420,Staunton,Virginia,51,23746,126776,-79.06113889,38.15928764
1210275,15980,Cape Coral,Florida,12,154305,822453,-81.99552907,26.64436072
4163650,40700,Roseburg,Oregon,41,21181,112297,-123.3517628,43.22321942
107000,13820,Birmingham,Alabama,1,212237,1116857,-86.79876142,33.52764673
3916000,17460,Cleveland,Ohio,39,396815,2063132,-81.68056192,41.47668452
1021200,20100,Dover,Delaware,10,36047,186946,-75.52024446,39.16103723
664000,40900,Sacramento,California,6,466488,2416702,-121.4682846,38.56660017
3606607,13780,Binghamton,New York,36,47376,244889,-75.90926767,42.1013964
5114968,16820,Charlottesville,Virginia,51,43475,223825,-78.48551854,38.03748724
2503690,12700,Barnstable Town,Massachusetts,25,45193,232457,-70.3599749,41.6721825
3663000,40380,Rochester,New York,36,210565,1081152,-77.61625401,43.16800649
1711163,16060,Carbondale,Illinois,17,25902,132693,-89.2238108,37.72198874
976500,45860,Torrington,Connecticut,9,36383,186116,-73.12815487,41.83492524
4740000,28940,Knoxville,Tennessee,47,178874,907968,-83.94968635,35.96919944
1254700,37460,Panama City,Florida,12,36484,185134,-85.60043797,30.19953268
4750280,34100,Morristown,Tennessee,47,29137,146172,-83.30052504,36.20464851
101852,11500,Anniston,Alabama,1,23106,115788,-85.81361846,33.67126876
820000,19740,Denver,Colorado,8,600158,2985871,-104.8762494,39.76208631
5347245,34180,Moses Lake,Washington,53,20366,101311,-119.274065,47.12842122
623042,21700,Eureka,California,6,27191,135010,-124.1568355,40.79413526
3761200,43140,Shelby,North Carolina,37,20323,100670,-81.54510114,35.29038141
5414600,16620,Charleston,West Virginia,54,51400,251914,-81.63224749,38.3484284
4263624,39740,Reading,Pennsylvania,42,88082,430449,-75.92667955,40.33999517
2938000,28140,Kansas City,Missouri,29,459787,2209494,-94.55388536,39.12334135
5486452,48540,Wheeling,West Virginia,54,28486,136708,-80.6950631,40.07511965
2641420,27100,Jackson,Michigan,26,33534,160066,-84.40374683,42.24311703
1514650,25900,Hilo,Hawaii,15,43263,206315,-155.0863881,19.68857439
5455756,34060,Morgantown,West Virginia,54,29660,141041,-79.94680374,39.63794133
2646000,29620,Lansing,Michigan,26,114297,540870,-84.56008856,42.71418396
2874840,46180,Tupelo,Mississippi,28,34546,163043,-88.73183099,34.26912528
2302795,12620,Bangor,Maine,23,33039,153704,-68.79061161,44.83223877
3676540,46540,Utica,New York,36,62235,288668,-75.22604588,43.09609318
2656320,34740,Muskegon,Michigan,26,38401,176565,-86.25624197,43.22813519
2404000,12580,Baltimore,Maryland,24,620961,2835672,-76.6144219,39.30504454
2567000,44140,Springfield,Massachusetts,25,153060,694523,-72.53953417,42.11549175
3673000,45060,Syracuse,New York,36,145170,653633,-76.14378724,43.04088788
3474000,45940,Trenton,New Jersey,34,84913,380688,-74.76405894,40.22364018
3986548,49300,Wooster,Ohio,39,26119,116559,-81.933384,40.81657681
669196,42200,Santa Maria,California,6,99553,443837,-120.4431676,34.9333182
3611000,15380,Buffalo,New York,36,261310,1161192,-78.84872743,42.90162028
669112,42100,Santa Cruz,California,6,59946,264370,-122.0345802,36.97887721
1321380,19140,Dalton,Georgia,13,33128,143604,-84.97120059,34.76906209
3678608,48060,Watertown,New York,36,27023,116637,-75.90947021,43.97337334
4159000,38900,Portland,Oregon,41,583776,2509489,-122.6499622,45.53711383
5584475,48140,Wausau,Wisconsin,55,39106,166334,-89.64568237,44.96153159
5335275,28420,Kennewick,Washington,53,73917,311469,-119.1731772,46.19786643
654652,37100,Oxnard,California,6,197899,832605,-119.1819246,34.19622774
439370,29420,Lake Havasu City,Arizona,4,52527,220816,-114.3112772,34.50056071
621782,20940,El Centro,California,6,42598,178713,-115.5586383,32.78674275
1616750,17660,Coeur d'Alene,Idaho,16,44137,183578,-116.7932558,47.70396001
2251410,33740,Monroe,Louisiana,22,48815,202869,-92.07746585,32.51829976
3746340,35100,New Bern,North Carolina,37,29524,122488,-77.07221372,35.09544025
5347560,34580,Mount Vernon,Washington,53,31743,131179,-122.3115526,48.42019596
5182000,47260,Virginia Beach,Virginia,51,437994,1806840,-76.04330084,36.73322787
4260000,37980,Philadelphia,Pennsylvania,42,1526006,6241164,-75.13404727,40.00758797
1820728,21140,Elkhart,Indiana,18,50949,206890,-85.96200089,41.69114284
3638264,27460,Jamestown,New York,36,31146,126027,-79.23664839,42.09748861
4872368,45500,Texarkana,Texas,48,36411,146408,-94.08144481,33.44865643
2240735,29180,Lafayette,Louisiana,22,120623,481125,-92.03232594,30.20838632
3240000,29820,Las Vegas,Nevada,32,583756,2322985,-115.2653241,36.23322829
1608830,14260,Boise City,Idaho,16,205671,811336,-116.2311433,43.60068478
2629000,22420,Flint,Michigan,26,102434,401983,-83.69216923,43.02352675
541000,30780,Little Rock,Arkansas,5,193524,757615,-92.35794602,34.7255075
126896,22520,Florence,Alabama,1,39319,153911,-87.66540497,34.83026449
3345140,31700,Manchester,New Hampshire,33,109565,426594,-71.44470348,42.98477197
5107784,13980,Blacksburg,Virginia,51,42620,165812,-80.42786033,37.22998561
5377105,48300,Wenatchee,Washington,53,31925,124118,-120.3286347,47.43380111
4839148,28660,Killeen,Texas,48,127921,496228,-97.72971046,31.07545876
681666,46700,Vallejo,California,6,115942,448747,-122.2359016,38.1133279
4716920,18260,Cookeville,Tennessee,47,30435,117415,-85.51137089,36.14842522
1738934,28100,Kankakee,Illinois,17,27537,106074,-87.86432414,41.1020159
4285312,48700,Williamsport,Pennsylvania,42,29381,113104,-77.03713827,41.239772
682954,47300,Visalia,California,6,124442,477544,-119.3269315,36.32764245
1919000,19340,Davenport,Iowa,19,99685,379374,-90.6052399,41.55628164
2205000,12940,Baton Rouge,Louisiana,22,229493,873060,-91.13103323,30.44180874
832155,24540,Greeley,Colorado,8,92889,350176,-104.7705429,40.41516016
2831020,25620,Hattiesburg,Mississippi,28,45989,173359,-89.31696938,31.30735978
4273808,44300,State College,Pennsylvania,42,42034,158425,-77.85679059,40.79095464
3712000,16740,Charlotte,North Carolina,37,731424,2756069,-80.8304509,35.2076745
4867496,43300,Sherman,Texas,48,38521,143131,-96.61949609,33.62649999
3755000,39580,Raleigh,North Carolina,37,403892,1484338,-78.64379531,35.83232398
646898,32900,Merced,California,6,78958,290014,-120.4778719,37.30570221
2937592,27900,Joplin,Missouri,29,50150,184086,-94.50059139,37.07587519
2638640,26090,Holland,Michigan,26,33051,121210,-86.09844481,42.76772676
2670520,40980,Saginaw,Michigan,26,51508,188330,-83.95007412,43.41989252
3314200,18180,Concord,New Hampshire,33,42695,156020,-71.55952881,43.23052387
2255000,35380,New Orleans,Louisiana,22,343829,1246176,-89.92901228,30.06863571
4843888,30980,Longview,Texas,48,80455,291219,-94.76216117,32.51921328
1921000,19780,Des Moines,Iowa,19,203433,729053,-93.61049335,41.57245354
1848798,33140,Michigan City,Indiana,18,31479,111675,-86.87052807,41.7098187
3709060,15500,Burlington,North Carolina,37,49963,176353,-79.46876609,36.07619907
1344340,29300,LaGrange,Georgia,13,29588,104279,-85.03838629,33.02741363
2642160,28020,Kalamazoo,Michigan,26,74262,261173,-85.58815484,42.27486836
3901000,10420,Akron,Ohio,39,199110,697627,-81.52188382,41.07978704
1714000,16980,Chicago,Illinois,17,2695598,9441957,-87.68590657,41.83705825
4835000,26420,Houston,Texas,48,2099451,7340118,-95.3905629,29.7865324
3638077,27060,Ithaca,New York,36,30014,104777,-76.50318346,42.44415571
2937000,27620,Jefferson City,Missouri,29,43079,150350,-92.17590939,38.56764263
5147672,31340,Lynchburg,Virginia,51,75568,263613,-79.19085547,37.40025567
2165226,40080,Richmond,Kentucky,21,31364,109231,-84.29255521,37.73057981
455000,38060,Phoenix,Arizona,4,1445632,5015678,-112.0890618,33.57150121
1759000,37900,Peoria,Illinois,17,115007,396466,-89.61553182,40.75204013
4714000,16860,Chattanooga,Tennessee,47,167674,574507,-85.24878567,35.06567472
4752006,34980,Nashville-Davidson metropolitan government (balance),Tennessee,47,601222,2046828,-86.78419126,36.17129472
644000,31080,Los Angeles,California,6,3792621,12872322,-118.4064666,34.1134718
103076,12220,Auburn,Alabama,1,53380,180773,-85.48985117,32.60863059
2717000,20260,Duluth,Minnesota,27,86265,291323,-92.13938447,46.7755632
1840788,29200,Lafayette,Indiana,18,67140,226452,-86.85930314,40.399031
5502375,11540,Appleton,Wisconsin,55,72623,244845,-88.38945488,44.27736407
807850,14500,Boulder,Colorado,8,97385,327468,-105.2523375,40.02486002
2836000,27140,Jackson,Mississippi,28,173514,583197,-90.21250491,32.31620623
3008950,14580,Bozeman,Montana,30,37280,124857,-111.0549268,45.68281439
4570405,44940,Sumter,South Carolina,45,40524,134925,-80.39292937,33.93916653
4738320,27740,Johnson City,Tennessee,47,63152,210256,-82.38031111,36.34056824
4807000,13140,Beaumont,Texas,48,118296,393575,-94.14509075,30.08488669
5168000,40220,Roanoke,Virginia,51,97032,314340,-79.95804126,37.27847139
4945860,30860,Logan,Utah,49,48174,155362,-111.8419211,41.7400292
3726880,24140,Goldsboro,North Carolina,37,36437,117286,-77.9719796,35.37773249
2603000,11460,Ann Arbor,Michigan,26,113934,366376,-83.73120287,42.27549064
1871000,43780,South Bend,Indiana,18,101168,323637,-86.26912832,41.67705724
2108902,14540,Bowling Green,Kentucky,21,58067,185682,-86.43749449,36.97148782
1304204,12260,Augusta-Richmond County,Georgia,13,195844,624083,-82.07076872,33.36439668
5531000,24580,Green Bay,Wisconsin,55,104057,330292,-87.98958128,44.51504932
1258715,38940,Port St. Lucie,Florida,12,164603,520710,-80.38835365,27.27956353
2200975,10780,Alexandria,Louisiana,22,47723,149189,-92.47014864,31.2922424
4715400,17420,Cleveland,Tennessee,47,41285,128479,-84.87071894,35.18174133
2338740,30340,Lewiston,Maine,23,36592,113023,-70.16806282,44.09143918
1369000,42340,Savannah,Georgia,13,136286,418373,-81.17843836,32.0279862
177256,46220,Tuscaloosa,Alabama,1,90468,277494,-87.52655333,33.23464618
2756896,41060,St. Cloud,Minnesota,27,65842,201868,-94.17180752,45.53391743
4805000,12420,Austin,Texas,48,790390,2421115,-97.75172102,30.30038084
5340245,31020,Longview,Washington,53,36648,111956,-122.9629608,46.14598145
2970000,44180,Springfield,Missouri,29,159498,487061,-93.29151369,37.19426862
1875428,45460,Terre Haute,Indiana,18,60785,184875,-87.37626062,39.46538841
3775000,49180,Winston-Salem,North Carolina,37,229617,688471,-80.26100794,36.10287805
1380508,47580,Warner Robins,Georgia,13,66588,198193,-83.65261715,32.5975019
4815976,17780,College Station,Texas,48,93857,277824,-96.29596324,30.58522062
4147000,32780,Medford,Oregon,41,74907,221644,-122.8536491,42.33718803
3734200,27340,Jacksonville,North Carolina,37,70145,207298,-77.39397885,34.72865362
1571550,46520,Urban Honolulu,Hawaii,15,337256,995638,-157.8459724,21.32934645
5548000,31540,Madison,Wisconsin,55,233209,687077,-89.39235566,43.08265628
2606020,13020,Bay City,Michigan,26,34932,102821,-83.88861166,43.59030616
1639700,26820,Idaho Falls,Idaho,16,56813,165608,-112.0363071,43.48713903
3719000,20500,Durham,North Carolina,37,228330,664310,-78.90315097,35.97937006
3728000,24660,Greensboro,North Carolina,37,269666,784101,-79.82680367,36.09559328
2241155,29340,Lake Charles,Louisiana,22,71993,207320,-93.21416123,30.20222484
664224,41500,Salinas,California,6,150441,432858,-121.631737,36.68843779
670098,42220,Santa Rosa,California,6,167815,482650,-122.7066742,38.44584686
524550,22900,Fort Smith,Arkansas,5,86209,247072,-94.36947026,35.34926715
466820,43420,Sierra Vista,Arizona,4,43888,125663,-110.3153905,31.56295279
5367000,44060,Spokane,Washington,53,208916,597919,-117.4330034,47.66705084
2553960,38340,Pittsfield,Massachusetts,25,44737,127859,-73.26052062,42.45169967
137000,26620,Huntsville,Alabama,1,180105,514465,-86.6412082,34.69878395
5305280,13380,Bellingham,Washington,53,80885,230677,-122.4686839,48.75430611
533400,26300,Hot Springs,Arkansas,5,35193,100089,-93.04976045,34.49019556
631960,25260,Hanford,California,6,53967,152981,-119.6544039,36.32634773
120104,19460,Decatur,Alabama,1,55683,157425,-86.99051218,34.57296982
3774440,48900,Wilmington,North Carolina,37,106476,300658,-77.88599057,34.21004598
5380010,49420,Yakima,Washington,53,91067,257001,-120.5495791,46.59233455
4164900,41420,Salem,Oregon,41,154637,436317,-123.0245207,44.92314675
1271625,45540,The Villages,Florida,12,51442,144970,-81.98881659,28.90206981
686972,49700,Yuba City,California,6,64925,182813,-121.6381276,39.13573918
1225175,23540,Gainesville,Florida,12,124354,348282,-82.34574961,29.68038977
128696,23460,Gadsden,Alabama,1,36856,103088,-86.01556787,34.00898708
5135624,25500,Harrisonburg,Virginia,51,48914,136555,-78.87345912,38.4361961
4737640,27180,Jackson,Tennessee,47,65211,181579,-88.83528371,35.6535143
1712385,16580,Champaign,Illinois,17,81055,223265,-88.2735406,40.11437764
1378800,46660,Valdosta,Georgia,13,54518,149849,-83.27882013,30.85021782
3918000,18140,Columbus,Ohio,39,787033,2161511,-82.98507459,39.98590738
648354,33700,Modesto,California,6,201165,551275,-121.0029219,37.63731604
675000,44700,Stockton,California,6,291707,793229,-121.311093,37.97657608
4965330,41100,St. George,Utah,49,72897,197680,-113.5769803,37.07693108
5540775,29100,La Crosse,Wisconsin,55,51320,139094,-91.22674391,43.82403853
831660,24300,Grand Junction,Colorado,8,58566,158636,-108.5672562,39.08768652
1682810,46300,Twin Falls,Idaho,16,44125,119007,-114.4617148,42.5647445
4105800,13460,Bend,Oregon,41,76639,206549,-121.3087327,44.05617744
1822000,21780,Evansville,Indiana,18,117429,314038,-87.53407023,37.98808454
2739878,31860,Mankato,Minnesota,27,39309,104072,-93.97732312,44.17113095
3722920,22180,Fayetteville,North Carolina,37,200564,529318,-78.97755449,35.08460823
4075000,46140,Tulsa,Oklahoma,40,391906,1034123,-95.90426965,36.12831963
1938595,26980,Iowa City,Iowa,19,67862,178991,-91.53035886,41.65590181
603526,12540,Bakersfield,California,6,347483,916108,-119.0359909,35.35293657
5522300,20740,Eau Claire,Wisconsin,55,65883,173644,-91.49507277,44.82001526
4224000,21500,Erie,Pennsylvania,42,101786,267689,-80.07327738,42.11675854
3525800,22140,Farmington,New Mexico,35,45877,120418,-108.1822965,36.75548492
5553000,33340,Milwaukee,Wisconsin,55,594833,1559792,-87.96720576,43.06406285
3947138,31900,Mansfield,Ohio,39,47821,125319,-82.52748181,40.76555215
4202184,11020,Altoona,Pennsylvania,42,46320,121032,-78.40073627,40.50821638
1836003,26900,Indianapolis city (balance),Indiana,18,820445,2141779,-86.14576957,39.77698756
645022,31460,Madera,California,6,61416,160256,-120.0802666,36.96399253
3943554,30620,Lima,Ohio,39,38771,101115,-84.11209118,40.74094934
4101000,10540,Albany,Oregon,41,50158,130467,-123.0966041,44.62744327
5560500,36780,Oshkosh,Wisconsin,55,66083,170718,-88.56167319,44.02279835
5537825,27500,Janesville,Wisconsin,55,63575,164060,-89.01363803,42.68549473
827425,22660,Fort Collins,Colorado,8,143986,366778,-105.0651042,40.54748247
2605920,12980,Battle Creek,Michigan,26,52347,133289,-85.2296527,42.29855706
2044250,31740,Manhattan,Kansas,20,52281,133072,-96.60474827,39.1885047
4715160,17300,Clarksville,Tennessee,47,132929,336605,-87.34277588,36.56959423
4055000,36420,Oklahoma City,Oklahoma,40,579999,1459380,-97.51355144,35.46753289
3757500,40580,Rocky Mount,North Carolina,37,57477,144090,-77.80469478,35.96756749
666000,41740,San Diego,California,6,1307402,3276208,-117.1224699,32.83069693
4874144,46340,Tyler,Texas,48,96900,241922,-95.30646915,32.31837363
3476070,47220,Vineland,New Jersey,34,60724,151356,-74.99806794,39.46523937
5566000,39540,Racine,Wisconsin,55,78860,195846,-87.81351703,42.72739406
1982425,47940,Waterloo,Iowa,19,68406,167889,-92.35219123,42.49194336
3825700,22020,Fargo,North Dakota,38,105549,258663,-96.82917626,46.86522611
4123850,21660,Eugene,Oregon,41,156185,382353,-123.1172853,44.05629738
4810768,15180,Brownsville,Texas,48,175023,425208,-97.45651898,25.99791608
5526275,22540,Fond du Lac,Wisconsin,55,43021,103836,-88.4397125,43.77180232
613014,17020,Chico,California,6,86187,207303,-121.8152548,39.75747447
3651000,35620,New York,New York,36,8175133,19617869,-73.92513312,40.69410183
5572975,43100,Sheboygan,Wisconsin,55,49288,117841,-87.73162339,43.74029458
3137000,36540,Omaha,Nebraska,31,408958,976671,-96.04985176,41.26278645
5121344,19260,Danville,Virginia,51,43055,102181,-79.40874781,36.58307739
121184,20020,Dothan,Alabama,1,65496,152517,-85.40682401,31.23347823
3570500,42140,Santa Fe,New Mexico,35,67947,155664,-105.9820064,35.6618578
3539380,29740,Las Cruces,New Mexico,35,97618,223337,-106.7893701,32.32646478
4876000,47380,Waco,Texas,48,124805,283885,-97.18826026,31.55967852
1706613,14010,Bloomington,Illinois,17,76610,171141,-88.97032033,40.47567321
485540,49740,Yuma,Arizona,4,93064,207842,-114.5487289,32.5989481
3977000,45780,Toledo,Ohio,39,287208,640384,-83.58225049,41.66387531
3974118,44220,Springfield,Ohio,39,60608,134831,-83.79573616,39.92969843
3260600,39900,Reno,Nevada,32,225221,500915,-119.8480619,39.54955316
3807200,13900,Bismarck,North Dakota,38,61272,134846,-100.7694956,46.81394386
1765000,40420,Rockford,Illinois,17,152871,335342,-89.0641316,42.25971571
423620,22380,Flagstaff,Arizona,4,65870,144060,-111.6194962,35.18720041
150000,33660,Mobile,Alabama,1,195111,426533,-88.11632397,30.67809565
1912000,16300,Cedar Rapids,Iowa,19,126326,275592,-91.67814633,41.96669329
1270600,45220,Tallahassee,Florida,12,181376,390992,-84.25267549,30.45500719
2148006,31140,Louisville/Jefferson County metro government (balance),Kentucky,21,597337,1284553,-85.6487226,38.16626962
1901855,11180,Ames,Iowa,19,58965,126282,-93.62156884,42.02577189
2754880,40340,Rochester,Minnesota,27,106769,228073,-92.47782209,44.01506424
4652980,39660,Rapid City,South Dakota,46,67956,145159,-103.2204976,44.07157595
2158620,36980,Owensboro,Kentucky,21,57265,121348,-87.11738834,37.75730703
4748000,32820,Memphis,Tennessee,47,646889,1332305,-89.9774252,35.10460104
3728080,24780,Greenville,North Carolina,37,84554,173542,-77.3768012,35.59563208
627000,23420,Fresno,California,6,494665,1015190,-119.7940899,36.78303874
668000,41940,San Jose,California,6,945942,1938524,-121.8486315,37.30198788
1235000,27260,Jacksonville,Florida,12,821784,1675668,-81.67495761,30.33200216
477000,46060,Tucson,Arizona,4,520116,1057597,-110.8781232,32.15433374
535710,27860,Jonesboro,Arkansas,5,67263,135512,-90.67924983,35.82107436
659920,39820,Redding,California,6,89861,180930,-122.3650179,40.56975633
1805860,14020,Bloomington,Indiana,18,80405,161227,-86.52571609,39.16369578
4865000,41700,San Antonio,Texas,48,1327407,2655342,-98.52532098,29.46547451
2915670,17860,Columbia,Missouri,29,108500,214630,-92.32557685,38.94772124
3832060,24220,Grand Forks,North Dakota,38,52838,103144,-97.08865153,47.92204075
2270000,43340,Shreveport,Louisiana,22,199311,385154,-93.79589604,32.46588234
1303440,12020,Athens-Clarke County unified government (balance),Georgia,13,115452,220405,-83.36886367,33.95080714
1301052,10500,Albany,Georgia,13,77434,145786,-84.17620754,31.57757786
4659020,43620,Sioux Falls,South Dakota,46,153888,289592,-96.73211877,43.5396284
151000,33860,Montgomery,Alabama,1,205764,385460,-86.26659951,32.34727182
816000,17820,Colorado Springs,Colorado,8,416427,765424,-104.7605751,38.86728033
3006550,13740,Billings,Montana,30,104170,190208,-108.5509036,45.78885797
